row_index,original_text,detected_entities,entity_types,confidence_scores
800,"Back Row, Crown Square, Denbigh LL16 3TE, United Kingdom",LOCATION:Crown Square; LOCATION:United Kingdom,LOCATION; LOCATION,0.850; 0.850
801,"Horseshoe Pass, Llangollen LL20 8DR, UK",LOCATION:Llangollen; DATE_TIME:8DR; LOCATION:UK,LOCATION; DATE_TIME; LOCATION,0.850; 0.850; 0.850
802,"Rear Fondella Buildings, High Street, Rhuddlan LL18 2TU, United Kingdom",LOCATION:United Kingdom,LOCATION,0.850
803,"Plot 16/Lon Parcwr Ind Est, Ruthin LL15 1NJ, United Kingdom",LOCATION:United Kingdom,LOCATION,0.850
804,"H.T.M. Busness Park, Abergele Rd, Rhuddlan LL18 5UZ, UK",LOCATION:Busness Park; LOCATION:Abergele Rd; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
805,"Loggerheads Country Park, Ruthin Rd, Mold CH7 5LH, UK",LOCATION:Loggerheads Country Park; PERSON:Ruthin Rd; LOCATION:UK,LOCATION; PERSON; LOCATION,0.850; 0.850; 0.850
806,"7 Market St, Ruthin LL15 1AU, UK",LOCATION:Market St; PERSON:1AU; LOCATION:UK,LOCATION; PERSON; LOCATION,0.850; 0.850; 0.850
807,"4 A Upper Clwyd Street, Ruthin LL15 1HY, United Kingdom",LOCATION:United Kingdom,LOCATION,0.850
808,"3TH, Rhyl Rd, Denbigh, United Kingdom",LOCATION:Rhyl Rd; LOCATION:Denbigh; LOCATION:United Kingdom,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
809,"28 - 30 High St, Rhyl LL18 1ET, UK",LOCATION:Rhyl; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
810,"50-52 High St, Denbigh LL16 3LB, UK",LOCATION:UK,LOCATION,0.850
811,"6 Market Street, Rhyl LL18 1RL, UK",LOCATION:Rhyl; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
812,"Ruthin Craft Centre, Lon Parcwr, Ruthin LL15 1BB, UK",LOCATION:Lon Parcwr; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
813,"93 High St, Prestatyn LL19 9AP, UK",LOCATION:UK,LOCATION,0.850
814,"7 Bridge St, Llangollen LL20 8PG, UK",LOCATION:Llangollen; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
815,"7 Russell Rd, Rhyl LL18 3BS, UK",PERSON:Russell Rd; LOCATION:Rhyl; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
816,"11 Kings' Ave, Prestatyn LL19 9AA, UK",LOCATION:UK,LOCATION,0.850
817,"2, The Quayside Buildings, W Parade, Foryd Harbour, Rhyl LL18 5AX, UK",LOCATION:The Quayside Buildings; LOCATION:Foryd Harbour; LOCATION:Rhyl; LOCATION:UK,LOCATION; LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850; 0.850
818,"89 High St, Rhyl LL18 1EU, UK",LOCATION:Rhyl; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
819,"8 Kinmel St, Rhyl LL18 1AL, UK",LOCATION:Rhyl; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
820,"Kimmeridge, Wareham BH20 5PE, United Kingdom",LOCATION:Kimmeridge; DATE_TIME:5PE; LOCATION:United Kingdom,LOCATION; DATE_TIME; LOCATION,0.850; 0.850; 0.850
821,"21C-23A Commercial Rd, Swanage BH19 1DF, UK",PERSON:Swanage BH19; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
822,"The Square, Corfe Castle, Wareham BH20 5EZ, UK",PERSON:Corfe Castle; DATE_TIME:5EZ; LOCATION:UK,PERSON; DATE_TIME; LOCATION,0.850; 0.850; 0.850
823,"Bere Farm Cottages, Wareham Rd, Lytchett Minster, Poole BH16 6ER, UK",LOCATION:Wareham Rd; PERSON:Lytchett Minster; PERSON:Poole BH16; LOCATION:UK,LOCATION; PERSON; PERSON; LOCATION,0.850; 0.850; 0.850; 0.850
824,"Ferry Rd, Studland, Swanage BH19 3AQ, UK",LOCATION:Ferry Rd; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
825,"153 High St, Poole BH15 1AU, UK",PERSON:1AU; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
826,"S W Coast Path, Studland, Swanage BH19 3AN, UK",PERSON:Swanage BH19 3AN; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
827,"Tilly Mead, Unit 3, Commercial Rd, Swanage BH19 1DF, United Kingdom",PERSON:Tilly Mead; PERSON:Swanage BH19; LOCATION:United Kingdom,PERSON; PERSON; LOCATION,0.850; 0.850; 0.850
828,"Burlington Rd, Swanage BH19 1LW, UK",LOCATION:UK,LOCATION,0.850
829,"28 Shore Rd, Poole BH13 7PJ, UK",LOCATION:Shore Rd; PERSON:Poole BH13 7PJ; LOCATION:UK,LOCATION; PERSON; LOCATION,0.850; 0.850; 0.850
830,"Inside Poole General Hospital, 10-32 Longfleet Rd, Poole BH15 2JB, United Kingdom",PERSON:Poole; LOCATION:United Kingdom,PERSON; LOCATION,0.850; 0.850
831,"Unit 1, 1 Dorchester Rd, Poole BH16 5NJ, UK",PERSON:Poole; DATE_TIME:5NJ; LOCATION:UK,PERSON; DATE_TIME; LOCATION,0.850; 0.850; 0.850
832,"42 High St, Swanage BH19 2NX, UK",LOCATION:Swanage; DATE_TIME:2NX; LOCATION:UK,LOCATION; DATE_TIME; LOCATION,0.850; 0.850; 0.850
833,"Arne Road, Wareham BH20 5BJ, United Kingdom",PERSON:Arne Road; LOCATION:Wareham; DATE_TIME:5BJ; LOCATION:United Kingdom,PERSON; LOCATION; DATE_TIME; LOCATION,0.850; 0.850; 0.850; 0.850
834,"Marine Terrace, Beach Rd, Studland, Swanage BH19 3AX, United Kingdom",LOCATION:United Kingdom,LOCATION,0.850
835,"36 High St, Swanage BH19 2NU, UK",PERSON:Swanage; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
836,"Parkstone Bay Marina, Turks Ln, Poole BH14 8EW, United Kingdom",LOCATION:Parkstone Bay Marina; NRP:Turks Ln; PERSON:Poole BH14 8EW; LOCATION:United Kingdom,LOCATION; NRP; PERSON; LOCATION,0.850; 0.850; 0.850; 0.850
837,"2 Grand Parade, High Street, Poole BH15 1AD, United Kingdom",LOCATION:United Kingdom,LOCATION,0.850
838,"7A Station Rd, Swanage BH19 1AB, UK",PERSON:Swanage BH19; DATE_TIME:1AB; LOCATION:UK,PERSON; DATE_TIME; LOCATION,0.850; 0.850; 0.850
839,"3 High St, Swanage BH19 2LN, UK",LOCATION:UK,LOCATION,0.850
840,"12-14 Rendezvous St, Folkestone CT20 1EZ, UK",LOCATION:Rendezvous St; LOCATION:Folkestone; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
841,"18, 24 The Old High St, Folkestone CT20 1RL, UK",DATE_TIME:24; LOCATION:Folkestone; LOCATION:UK,DATE_TIME; LOCATION; LOCATION,0.850; 0.850; 0.850
842,"80 Sandgate High St, Sandgate, Folkestone CT20 3BX, UK",LOCATION:Folkestone; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
843,"61 Sandgate High St, Sandgate, Folkestone CT20 3AH, UK",LOCATION:UK,LOCATION,0.850
844,"111A Old Dover Rd, Capel-le-Ferne, Folkestone CT18 7HT, UK",LOCATION:Dover Rd; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
845,"43 Tontine St, Folkestone CT20 1JT, UK",PERSON:Tontine St; LOCATION:Folkestone; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
846,"26 The Stade, Folkestone CT19 6AE, UK",LOCATION:Stade; LOCATION:Folkestone; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
847,"83 Cheriton Rd, Folkestone CT20 1DG, UK",LOCATION:Folkestone; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
848,"Main Road, Ashford TN25 6DA, United Kingdom",LOCATION:Main Road; LOCATION:Ashford; LOCATION:United Kingdom,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
849,"Eurotunnel, Eurotunnel Le Shuttle, Ashford Rd, Folkestone CT18 8XX, United Kingdom",LOCATION:Folkestone CT18 8XX; LOCATION:United Kingdom,LOCATION; LOCATION,0.850; 0.850
850,"40 Sandgate Rd, Folkestone CT20 1DW, UK",LOCATION:Folkestone; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
851,"Passenger Terminal Building, Ashford Rd, Folkestone CT18 8XX, United Kingdom",LOCATION:Ashford Rd; LOCATION:Folkestone CT18 8XX; LOCATION:United Kingdom,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
852,"104 Sandgate High St, Sandgate, Folkestone CT20 3BY, UK",LOCATION:UK,LOCATION,0.850
853,"301 Cheriton Rd, Folkestone CT19 4BG, UK",LOCATION:UK,LOCATION,0.850
854,"Unit RU11 Bouviere Place, Folkestone CT20 1AE, United Kingdom",LOCATION:Folkestone; LOCATION:United Kingdom,LOCATION; LOCATION,0.850; 0.850
855,"49 Black Bull Rd, Folkestone CT19 5QT, UK",LOCATION:Folkestone; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
856,"19 Guildhall St, Folkestone CT20 1EA, UK",LOCATION:Guildhall St; LOCATION:Folkestone; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
857,"B2064, Folkestone CT19 4DX, UK",DATE_TIME:4DX; LOCATION:UK; US_DRIVER_LICENSE:B2064,DATE_TIME; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.300
858,"18 Sandgate Rd, Folkestone CT20 1DP, UK",LOCATION:Folkestone; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
859,"302 Cheriton Rd, Folkestone CT19 4DP, UK",LOCATION:UK,LOCATION,0.850
860,"52 Hanover St, Liverpool L1 4AF, UK",PERSON:Hanover St; LOCATION:Liverpool; LOCATION:UK; US_DRIVER_LICENSE:L1,PERSON; LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.300
861,"Top Floor, 16-18 Newington, Liverpool L1 4ED, United Kingdom",LOCATION:Newington; LOCATION:United Kingdom; US_DRIVER_LICENSE:L1,LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.300
862,"72 Bold St, Liverpool L1 4HR, UK",PERSON:Bold St; LOCATION:Liverpool L1; DATE_TIME:4HR; LOCATION:UK; US_DRIVER_LICENSE:L1,PERSON; LOCATION; DATE_TIME; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.850; 0.300
863,"15 Cleveland Square, Liverpool L1 5BE, UK",LOCATION:Cleveland Square; LOCATION:UK; US_DRIVER_LICENSE:L1,LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.300
864,"89 Bold St, Liverpool L1 4HF, UK",PERSON:Bold St; LOCATION:Liverpool; LOCATION:UK; US_DRIVER_LICENSE:L1,PERSON; LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.300
865,"126 Bold St, Liverpool L1 4JA, UK",PERSON:Bold St; LOCATION:Liverpool; LOCATION:UK; US_DRIVER_LICENSE:L1,PERSON; LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.300
866,"33 Cornhill, Liverpool L1 8DP, UK",LOCATION:Cornhill; LOCATION:UK; US_DRIVER_LICENSE:L1,LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.300
867,"6 Williamson Square, City Centre, Liverpool L1 1EQ, UK",PERSON:Williamson Square; LOCATION:UK; US_DRIVER_LICENSE:L1,PERSON; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.300
868,"28A Bold St, Liverpool L1 4DS, UK",PERSON:Bold St; LOCATION:Liverpool; LOCATION:UK; US_DRIVER_LICENSE:L1,PERSON; LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.300
869,"Walker House, Exchange Flags, Liverpool L2 3YL, UK",LOCATION:UK; US_DRIVER_LICENSE:L2,LOCATION; US_DRIVER_LICENSE,0.850; 0.300
870,"Albert Dock, Liverpool L3 4AA, United Kingdom",PERSON:Albert Dock; LOCATION:United Kingdom; US_DRIVER_LICENSE:L3,PERSON; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.300
871,"14 Rodney St, Liverpool L1 2TE, UK",PERSON:Rodney St; LOCATION:UK; US_DRIVER_LICENSE:L1,PERSON; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.300
872,"220 Walton Breck Rd, Liverpool L4 0RQ, UK",PERSON:Walton Breck Rd; LOCATION:UK; US_DRIVER_LICENSE:L4,PERSON; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.300
873,"431 Smithdown Rd, Liverpool L15 3JL, UK",LOCATION:UK; US_DRIVER_LICENSE:L15,LOCATION; US_DRIVER_LICENSE,0.850; 0.300
874,"60 Berry St, Liverpool L1 4JQ, UK",PERSON:Berry St; LOCATION:Liverpool; LOCATION:UK; US_DRIVER_LICENSE:L1,PERSON; LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.300
875,"5 Allerton Rd, Liverpool L25 7RA, UK",PERSON:Allerton Rd; LOCATION:UK; US_DRIVER_LICENSE:L25,PERSON; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.300
876,"Britannia Vaults, Albert Dock, Liverpool L3 4AD, UK",LOCATION:Britannia Vaults; PERSON:Albert Dock; LOCATION:UK; US_DRIVER_LICENSE:L3,LOCATION; PERSON; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.300
877,"The Courtyard, Cains Brewery Village, Stanhope St, Liverpool L8 5XJ, UK",PERSON:Stanhope St; LOCATION:Liverpool; LOCATION:UK; US_DRIVER_LICENSE:L8,PERSON; LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.300
878,"46 Castle St, Liverpool L2 7LA, UK",LOCATION:Liverpool; LOCATION:UK; US_DRIVER_LICENSE:L2,LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.300
879,"261 Woolton Rd, Liverpool L16 8NA, UK",LOCATION:UK; US_DRIVER_LICENSE:L16,LOCATION; US_DRIVER_LICENSE,0.850; 0.300
880,"O'Mahoneys Fruit & Veg, Wrawby St, Brigg DN20 8JE, UK",LOCATION:Wrawby St; PERSON:Brigg; LOCATION:UK,LOCATION; PERSON; LOCATION,0.850; 0.850; 0.850
881,"169-173 High Street, Scunthorpe DN15 6EH, United Kingdom",LOCATION:Scunthorpe; LOCATION:United Kingdom; PHONE_NUMBER:169-173,LOCATION; LOCATION; PHONE_NUMBER,0.850; 0.850; 0.400
882,"1-5, Springs Parade, Brigg DN20 8EQ, UK",PERSON:Brigg; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
883,"116 High St, Scunthorpe DN15 6HB, UK",LOCATION:Scunthorpe; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
884,"Wilderspin National School Museum, Queen St, Barton-upon-Humber DN18 5QP, UK",LOCATION:Queen St; PERSON:Barton; LOCATION:Humber; LOCATION:UK,LOCATION; PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850; 0.850
885,"Wells St, Scunthorpe DN15 6HL, UK",LOCATION:Scunthorpe; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
886,"6 Yarborough Court, Ulceby DN39 6RZ, UK",LOCATION:UK,LOCATION,0.850
887,"Doncaster Rd, Scunthorpe DN15 8GR, UK",PERSON:Doncaster Rd; LOCATION:Scunthorpe; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
888,"9 Wrawby St, Brigg DN20 8JH, UK",LOCATION:Wrawby St; PERSON:Brigg; LOCATION:UK,LOCATION; PERSON; LOCATION,0.850; 0.850; 0.850
889,"SU24A Jubilee way The Parishes, Scunthorpe DN15 6RB, UK",LOCATION:Scunthorpe; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
890,"2B Ravendale St N, Scunthorpe DN15 6NE, UK",LOCATION:Scunthorpe; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
891,"Elsham Hall, Elsham DN20 0QZ, UK",LOCATION:Elsham Hall; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
892,"35 High St, Haxey, Doncaster DN9 2HH, UK",LOCATION:Haxey; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
893,"Grange Ln N, Scunthorpe DN16 1BZ, UK",LOCATION:Scunthorpe; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
894,"Roseholme Barn/Main St, Market Rasen LN7 6JZ, United Kingdom",PERSON:Roseholme Barn/Main St; LOCATION:United Kingdom,PERSON; LOCATION,0.850; 0.850
895,"6-8, Orchard Centre, The Square, Hessle HU13 0AA, UK",LOCATION:The Square; LOCATION:Hessle; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
896,"College Farm, Back St, Scunthorpe DN15 9JN, UK",LOCATION:Back St; LOCATION:Scunthorpe; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
897,"2A Ravendale St N, Scunthorpe DN15 6NE, UK",LOCATION:Scunthorpe; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
898,"The Beacon, Brighton St, Hull HU3 4HA, United Kingdom",LOCATION:Beacon; LOCATION:Brighton St; LOCATION:United Kingdom,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
899,"Melton Ross, Brigg DN38 6AB, UK",PERSON:Melton Ross; PERSON:Brigg DN38 6AB; LOCATION:UK,PERSON; PERSON; LOCATION,0.850; 0.850; 0.850
900,"The Coffee Apothecary, Udny, Ellon, Aberdeenshire AB41 7PQ, United Kingdom",LOCATION:Udny; LOCATION:Ellon; LOCATION:Aberdeenshire; LOCATION:United Kingdom,LOCATION; LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850; 0.850
901,"Midmar, Aberdeenshire AB51 7NB, UK",LOCATION:Midmar; LOCATION:Aberdeenshire; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
902,"74 High St, Banchory AB31 5SS, UK",LOCATION:UK,LOCATION,0.850
903,"66 Claremont St, Aberdeen AB10 6QY, UK",LOCATION:Claremont St; LOCATION:Aberdeen; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
904,"Castleton Farm Cottage, Fordoun, Laurencekirk AB30 1JX, UK",PERSON:Fordoun; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
905,"3 Whitehall Rd, Aberdeen AB25 2PP, UK",LOCATION:Aberdeen; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
906,"The Old Auction Room, High Street (opposite The White Horse Hotel), Strichen, Aberdeenshire AB43 6SQ, United Kingdom",LOCATION:Strichen; LOCATION:Aberdeenshire; LOCATION:United Kingdom,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
907,"Cafe and Restaurant, Potarch, Banchory AB31 4BD, UK",LOCATION:UK,LOCATION,0.850
908,"Unnamed Road, Aberdeen, United Kingdom",LOCATION:Aberdeen; LOCATION:United Kingdom,LOCATION; LOCATION,0.850; 0.850
909,"c/o The Pitscurry Project, Pitcaple, Inverurie AB51 5DY, United Kingdom",LOCATION:United Kingdom,LOCATION,0.850
910,"19 Rubislaw Terrace, Aberdeen AB10 1XE, UK",LOCATION:Aberdeen; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
911,"39 St Swithin St, Aberdeen AB10 6XL, UK",PERSON:St Swithin St; LOCATION:Aberdeen; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
912,"Newton Dee Cafe at Newton Dee Village, Aberdeen AB15 9DX, United Kingdom",PERSON:Newton Dee Cafe; LOCATION:Newton Dee Village; LOCATION:Aberdeen; LOCATION:United Kingdom,PERSON; LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850; 0.850
913,"North Mains of Barra Cottage, Oldmeldrum, Inverurie AB51 0BB, UK",LOCATION:Barra Cottage; PERSON:Oldmeldrum; LOCATION:UK,LOCATION; PERSON; LOCATION,0.850; 0.850; 0.850
914,"Prime Four, Kingswells, Aberdeen AB15 8PJ, UK",LOCATION:Kingswells; LOCATION:Aberdeen; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
915,"8 Bridge St, Ballater AB35 5QP, UK",LOCATION:Ballater; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
916,"Hazlehead Park, Aberdeen AB15 8BJ, United Kingdom",LOCATION:Hazlehead Park; LOCATION:Aberdeen; LOCATION:United Kingdom,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
917,"High St, Strichen, Fraserburgh AB43 6SQ, UK",LOCATION:Strichen; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
918,"Westhill AB32 6AQ, UK",LOCATION:UK,LOCATION,0.850
919,"Post Office House, Old, Inverurie AB51 5HE, United Kingdom",LOCATION:United Kingdom,LOCATION,0.850
920,"37 Rath Rd, Warrenpoint, Newry BT34 3RX, UK",LOCATION:Warrenpoint; LOCATION:Newry; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
921,"12A Monaghan St, Newry BT35 6AA, UK",PERSON:Monaghan St; LOCATION:Newry; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
922,"204 Head Rd, Annalong, Newry BT34 4RJ, UK",LOCATION:Annalong; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
923,"9 Kildare St, Newry BT34 1DN, UK",LOCATION:Kildare St; LOCATION:Newry; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
924,"59 Hill St, Newry BT34 1AF, UK",PERSON:Hill St; LOCATION:Newry; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
925,"34 Margaret St, Newry BT34 1DF, UK",PERSON:Margaret St; LOCATION:Newry; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
926,"25 Merchants Quay, Newry BT35 6AH, UK",LOCATION:Newry; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
927,"Church St, Rostrevor, Newry BT34 3BA, UK",LOCATION:Church St; LOCATION:Rostrevor; LOCATION:Newry; LOCATION:UK,LOCATION; LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850; 0.850
928,"7A Sugarquay, Newry BT35 6HZ, UK",LOCATION:Newry; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
929,"The Quays Shopping Centre Albert Basin, 16a Bridge St, Newry BT35 8QS, UK",PERSON:Albert Basin; LOCATION:Newry; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
930,"Unit 4, The Quays, Newry BT35 8QS, United Kingdom",LOCATION:Newry; LOCATION:United Kingdom,LOCATION; LOCATION,0.850; 0.850
931,"22 Monaghan St, Newry BT35 6AA, UK",LOCATION:Monaghan St; LOCATION:Newry; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
932,"14-16 Hill St, Newry BT34 2BW, UK",LOCATION:Hill St; LOCATION:Newry; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
933,"46 Monaghan St, Newry BT35 6AA, UK",PERSON:Monaghan St; LOCATION:Newry; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
934,"Head Rd, Kilkeel, Newry BT34 4HU, UK",PERSON:Kilkeel; LOCATION:Newry; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
935,"6 Charlotte St, Warrenpoint, Newry BT34 3LF, UK",PERSON:Charlotte St; LOCATION:Warrenpoint; LOCATION:Newry; LOCATION:UK,PERSON; LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850; 0.850
936,"Unit 10, Damolly Retail Park, Armagh Rd, Newry BT35 6PR, UK",LOCATION:Armagh Rd; LOCATION:Newry; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
937,"89 Drumintee Rd, Killeavy, Newry BT35 8SW, UK",PERSON:Drumintee Rd; LOCATION:Killeavy; LOCATION:Newry; LOCATION:UK,PERSON; LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850; 0.850
938,"16 Downpatrick St, Rathfriland, Newry BT34 5DG, UK",LOCATION:Rathfriland; LOCATION:Newry; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
939,"5 The Square, Warrenpoint, Newry BT34 3LY, UK",LOCATION:Warrenpoint; LOCATION:Newry; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
940,"18 Abbey St, Carlisle CA3 8TX, UK",PERSON:Abbey St; LOCATION:Carlisle; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
941,"11 Bank St, Carlisle CA3 8HG, UK",LOCATION:Carlisle; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
942,"3 Market St, Carlisle CA3 8QJ, UK",LOCATION:Market St; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
943,"Burnett Rd, Carlisle CA1 3BX, UK",PERSON:Burnett Rd; LOCATION:Carlisle; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
944,"17-19 Castle St, Carlisle CA3 8SY, UK",LOCATION:Carlisle; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
945,"36 Lowther St, Carlisle CA3 8DH, UK",PERSON:Lowther St; LOCATION:Carlisle; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
946,"1 Carlyle's Ct, St Mary's Gate, Carlisle CA3 8RY, UK",PERSON:St Mary's Gate; LOCATION:Carlisle; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
947,"26-40 English St, c/o House of Fraser, Carlisle CA3 8HU, United Kingdom",DATE_TIME:26-40; NRP:English; LOCATION:Fraser; LOCATION:Carlisle; LOCATION:United Kingdom,DATE_TIME; NRP; LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850; 0.850; 0.850
948,"Kinmont Arcade, Carlisle CA3 8RQ, UK",PERSON:Kinmont Arcade; LOCATION:Carlisle; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
949,"20-34 Warwick Rd, Carlisle CA1 1DN, UK",LOCATION:Warwick Rd; LOCATION:Carlisle; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
950,"64 Scotch St, Carlisle CA3 8PN, UK",LOCATION:Scotch St; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
951,"62-66 Denton St, Carlisle CA2 5EH, UK",LOCATION:Denton St; LOCATION:Carlisle; DATE_TIME:5EH; LOCATION:UK,LOCATION; LOCATION; DATE_TIME; LOCATION,0.850; 0.850; 0.850; 0.850
952,"20 St Cuthbert's Ln, Carlisle CA3 8AG, UK",PERSON:St Cuthbert's; LOCATION:Ln; LOCATION:Carlisle; LOCATION:UK,PERSON; LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850; 0.850
953,"Court Square, Carlisle CA1 1QY, UK",LOCATION:Court Square; LOCATION:Carlisle; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
954,"27 Castle St, Carlisle CA3 8SY, UK",LOCATION:Carlisle; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
955,"28 Corporation Rd, Carlisle CA3 8XB, UK",LOCATION:Carlisle CA3 8XB; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
